,filename,content
0,100999172-House-Rental-Agreement,HOUSE RENTAL AGREEMENT Rental Agreement made on Jan 10 2011 between Namashivayam Plat No-182 Door
1,100999172-House-Rental-Agreement,No 16 New/10
2,100999172-House-Rental-Agreement,Old 24th
3,100999172-House-Rental-Agreement,East Street Kamaraj Nagar Thiruvanmiyur Chennai of the house and Mrs Thenmalar W/
4,100999172-House-Rental-Agreement,O
5,100999172-House-Rental-Agreement,Xavier Kottaikadu Vadakadu Pudukkottai of the First floor portion of the building
6,100999172-House-Rental-Agreement,WHERE IT IS AGREED AND DECLARED AS FOLLOWS 1
7,100999172-House-Rental-Agreement,The Landlord agrees to let out and the tenant agrees to take on rent the First floor portion of the building Plat
8,100999172-House-Rental-Agreement,No-182 Door No 16 New/10
9,100999172-House-Rental-Agreement,Old 24th East Street Kamaraj Nagar Thiruvanmiyur along with electrical and sanitary fittings and other accessories fittings and structures from Jan 10 2011 at the monthly rent of 14500 being payable on or before 5th of every month to the Landlord
10,100999172-House-Rental-Agreement,The period of this agreement shall be twelve months w e f Jan 10 2011 2
11,100999172-House-Rental-Agreement,The tenant has paid 100000 0ne lack Rupees as advance amount for the above building and the landlord shall pay
12,100999172-House-Rental-Agreement,this said advance without interest to the tenant at the time of vacating the premises or within 12 months of commencement of this agreement whichever is earlier 3
13,100999172-House-Rental-Agreement,At the termination of the period of tenancy the tenant agrees to surrender to the Landlord the vacant possession of the premises without raising any objection 4
14,100999172-House-Rental-Agreement,This rental agreement can be terminated at any time by three months notice on either side and on such termination the tenant shall surrender the vacant possession of the premises to the Landlord 5
15,100999172-House-Rental-Agreement,If for by any reason the tenant occupies the building for a period that includes part of a month
16,100999172-House-Rental-Agreement,it is agreed that the rent will be charged on a pro-rated basis for that month 6
17,100999172-House-Rental-Agreement,The landlord shall pay all existing and future taxes rates and assessments in respect of the lease hold including the municipal or other tax assessed by a local authority on the value of the building or annual letting value of the building and all other rates taxes and assessments levied by any authority whatsoever 7
18,100999172-House-Rental-Agreement,The tenant shall pay the electricity and water supply charges for the period of time he occupies the premises 8
19,100999172-House-Rental-Agreement,The tenant agrees to leave at the end of tenancy the premises in good condition as they are now subject to reasonable wear and tear 9
20,100999172-House-Rental-Agreement,The tenant also agreed not to let out the building or a portion of it to anybody else 10
21,100999172-House-Rental-Agreement,The tenant shall not commit any act of waste in the premises 11
22,100999172-House-Rental-Agreement,The tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord 12
23,100999172-House-Rental-Agreement,The landlord shall retain the original of this agreement and the tenant shall retain its duplicate WITNESS WHERE OF Namashivayam the landlord and Mrs Thenmalar
24,100999172-House-Rental-Agreement,the tenant have affixed their signatures on Jan 10 2011
25,100999172-House-Rental-Agreement,Witness
26,136441742-Rental-Agreement-Format,TENANCY AGREEMENT
27,136441742-Rental-Agreement-Format,This Tenancy Agreement is made and executed at Bangalore on this 22 01 2013 by MR P RAJA SEKHAR AGED ABOUT 28 YRS S/0
28,136441742-Rental-Agreement-Format,MR KRISHNA PARAMATMA PENTAKOTA R/at NESTER RAGA
29,136441742-Rental-Agreement-Format,B-502 OPP MORE MEGA STORE
30,136441742-Rental-Agreement-Format,BANGALORE-560 048 Hereinafter called the OWNER of the One Part AND MR VENKATA BHYRAVA MURTHY MUTNURI P/at NO 17-2-16 l/EERABHARAPURAM AGED ABOUT 26 YRSRAOAHMUNDRY ANDHRA PRADESH S
31,136441742-Rental-Agreement-Format,/n
32,136441742-Rental-Agreement-Format,MR RAGHAVENDRA RAO533105 W/at CODINZANT
33,136441742-Rental-Agreement-Format,TECHNOLOGIES BVT LTD BANGALORE Hereinafter called the TENANT of the Other Part
34,136441742-Rental-Agreement-Format,The terms Owner and Tenant shall mean and include their heirs legal representatives administrators assigns of their respective parts as parties themselves wherever the context admits and includes the same Whereas the Owner is the sole and absolute owner of the Residential property which is morefully descrmed in the schedule hereunder and at the enjoyment of the owner
